p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather
tanh,256,han,0.0,16,0.0005112275581558157,10,2,9,1e-05,0.13518518518518519,0.5,17.135835647583008,46,4228.86360502243,4667.512931346893
sigmoid,16,han,0.2,16,2.2542437770576044e-05,10,1,5,0.0,0.45740740740740743,0.5533865243026018,1.3669113516807556,42,3895.2026438713074,4850.456044912338
tanh,16,hgt,0.1,32,0.0015817995122065277,6,1,8,0.0001,0.6537037037037037,0.6264263295297879,1.2452492713928223,45,4096.748514652252,5281.1101660728455
tanh,16,hgt,0.1,128,0.018556136421648994,3,4,9,5e-05,0.6240740740740741,0.6208530110586372,1.271966278553009,44,4090.9318618774414,5334.116000413895
leakyrelu,32,han,0.5,32,0.00027501227028219977,10,1,10,5e-05,0.8648148148148148,0.5,0.6938937902450562,51,4668.907916069031,5461.0265192985535
tanh,16,han,0.0,16,0.025950417388620226,10,1,10,5e-05,0.45740740740740743,0.5533865243026018,1.3797873258590698,47,4324.702045440674,5492.625462293625
tanh,16,hgt,0.1,256,0.0013141354274512924,5,2,6,0.0001,0.6537037037037037,0.6264263295297879,1.2368391156196594,48,4517.0700895786285,5644.966889381409
tanh,16,han,0.0,16,0.0002677800701598953,7,1,10,0.0,0.8648148148148148,0.5,1.4377610683441162,49,4527.729782581329,5653.421882867813
tanh,16,hgt,0.1,64,3.8569655410410856e-05,5,2,8,0.0001,0.6537037037037037,0.6264263295297879,1.2549351453781128,50,4568.293116569519,5741.092782735825
relu,256,han,0.5,32,0.00015942884309552615,2,8,9,1e-05,0.8648148148148148,0.5,0.6943173408508301,54,5335.238827705383,5765.43853354454
tanh,16,hgt,0.0,64,1.6070617131705764e-05,10,1,7,5e-05,0.6537037037037037,0.6264263295297879,1.196481168270111,52,4851.78715467453,5986.343996763229
elu,256,han,0.5,16,4.2850770810851235e-05,1,2,9,5e-05,0.8648148148148148,0.5,0.6935286521911621,60,5766.778533220291,6212.083228826523
tanh,16,han,0.0,128,0.007094421121446896,10,2,10,0.0,0.45740740740740743,0.5533865243026018,1.3472234010696411,53,5282.172968387604,6398.997296094894
tanh,16,hgt,0.3,64,0.00012129766381241565,5,2,8,5e-05,0.3648148148148148,0.5865331025783931,1.3406358361244202,55,5462.291819095612,6634.802382707596
tanh,16,hgt,0.2,32,1.9097309158228366e-05,6,2,8,5e-05,0.3648148148148148,0.5865331025783931,1.3178338408470154,56,5493.666394710541,6671.035848140717
elu,256,han,0.3,32,2.501430332626845e-05,10,4,9,5e-05,0.8648148148148148,0.5,0.6952789425849915,62,6213.290955066681,6683.631181001663
leakyrelu,16,han,0.0,16,2.2204394954771578e-05,10,4,10,0.0,0.13518518518518519,0.5,35.69358253479004,57,5646.2626123428345,6763.534077644348
tanh,16,han,0.1,64,3.115862455124758e-05,10,2,10,1e-05,0.45740740740740743,0.5533865243026018,1.3649858236312866,58,5654.500683784485,6847.015521764755
tanh,16,hgt,0.0,16,3.598386830420223e-05,10,2,9,1e-05,0.6537037037037037,0.6264263295297879,1.2711199522018433,59,5742.3167243003845,6954.2724895477295
