,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather
165,sigmoid,32,hgt,0.0,32,0.0045219499172111,2,1,10,0.0,0.4574074074074074,0.5533865243026018,0.8654348850250244,162,15598.789962291718,16416.811707496643
166,leakyrelu,32,han,0.4,16,3.339105849066051e-05,4,2,10,5e-05,0.1351851851851851,0.5,0.6924325227737427,164,15736.910348653792,16546.22656440735
167,tanh,64,han,0.4,64,1.0287026504069228e-05,8,2,9,1e-05,0.8648148148148148,0.5,0.6994433403015137,167,15933.7544298172,16547.655910730362
168,relu,128,han,0.0,64,1.5716759624661977e-05,10,2,10,1e-05,0.8648148148148148,0.5,534.841796875,168,16034.185276985168,16557.080833911896
169,relu,64,han,0.4,64,3.622879196598929e-05,3,4,9,0.0,0.5425925925925926,0.446613475697398,0.6972317099571228,170,16155.917601585388,16753.319379091263
170,tanh,32,hgt,0.0,64,0.0077653685715823,1,2,4,1e-05,0.6537037037037037,0.6264263295297879,0.6702944040298462,169,16128.00286579132,16843.601896762848
171,tanh,64,hgt,0.0,256,0.0025483353565641,1,2,9,1e-05,0.6537037037037037,0.6264263295297879,0.6585731506347656,171,16355.27435183525,16996.905524015427
172,sigmoid,32,hgt,0.0,128,0.0079352065092441,1,1,4,0.0,0.6537037037037037,0.6264263295297879,0.6685858368873596,173,16418.3829536438,17110.66855072975
173,sigmoid,64,hgt,0.0,32,0.0001163355013071,2,1,10,0.0,0.6537037037037037,0.6264263295297879,0.6632905602455139,174,16547.655614614487,17176.652584314346
174,tanh,64,han,0.4,256,1.712233989392903e-05,8,4,10,0.0,0.8648148148148148,0.5,0.7010173201560974,176,16558.51129245758,17178.285257339478
175,tanh,64,han,0.3,16,0.0003718557227341,4,2,10,5e-05,0.8648148148148148,0.5,0.6952869892120361,175,16548.967824697495,17210.613736391068
176,elu,32,hgt,0.0,256,0.0070763879979393,5,1,10,5e-05,0.6537037037037037,0.6264263295297879,0.6788287162780762,172,16393.649929523468,17224.625133514404
177,tanh,64,han,0.1,32,5.109942630575291e-05,8,2,5,0.0,0.4574074074074074,0.5533865243026018,0.6885437965393066,178,16845.082259655,17390.60974907875
178,elu,32,hgt,0.0,256,0.0196480128049969,3,2,5,5e-05,0.6537037037037037,0.6264263295297879,0.6719486117362976,177,16754.856625556946,17518.140077352524
179,leakyrelu,64,hgt,0.0,32,0.0001930338286756,4,4,10,0.0,0.6537037037037037,0.6264263295297879,0.6655504107475281,179,16998.299471139908,17620.688854932785
180,tanh,128,han,0.0,32,1.485544471574396e-05,8,1,10,0.0,0.1351851851851851,0.5,179.01808166503906,180,17112.138139247894,17632.877257823944
181,leakyrelu,128,han,0.4,32,0.0002789504993549,2,2,10,1e-05,0.8648148148148148,0.5,0.6957752704620361,182,17179.438041448593,17713.616872787476
182,sigmoid,64,han,0.2,16,1.4228208330148852e-05,7,2,10,0.0,0.4574074074074074,0.5533865243026018,0.6892035603523254,185,17391.95254278183,18000.214614629745
183,tanh,32,han,0.1,16,1.551717794566111e-05,8,2,9,0.0,0.4574074074074074,0.5533865243026018,0.6877872943878174,183,17212.154726982117,18053.63438439369
184,relu,32,han,0.3,32,2.005005480169232e-05,5,2,10,5e-05,0.8648148148148148,0.5,0.6934794783592224,184,17226.53728079796,18077.079043149948
185,tanh,64,han,0.0,64,1.822009771239722e-05,2,2,10,0.0001,0.8648148148148148,0.5,425.6137390136719,186,17519.397151470184,18125.603226184845
186,elu,16,hgt,0.0,256,0.0187620528130192,2,2,5,1e-05,0.6537037037037037,0.6264263295297879,1.2787653803825378,181,17177.916076421738,18252.849755764008
187,sigmoid,128,han,0.0,256,2.474864169853941e-05,8,2,10,0.0001,0.4574074074074074,0.5533865243026018,214.10704040527344,192,18078.65353941917,18618.504662036896
188,tanh,64,hgt,0.0,16,1.842680091647701e-05,6,2,7,0.0,0.6537037037037037,0.6264263295297879,0.6620277166366577,191,18054.882627010345,18643.188282728195
189,elu,16,han,0.0,16,0.0074434955863773,8,2,10,0.0,0.4574074074074074,0.5533865243026018,1.3628737926483154,187,17622.13060259819,18759.58706498146
190,tanh,32,han,0.0,128,2.734019745504817e-05,8,2,10,5e-05,0.1351851851851851,0.5,1108.7025146484375,190,18001.48692893982,18783.341460943226
191,relu,16,han,0.5,16,2.5326462934011127e-05,9,2,10,0.0,0.8648148148148148,0.5,1.3900126814842224,188,17634.18730854988,18811.888634443283
192,tanh,16,han,0.0,256,3.654000138401576e-05,8,2,10,1e-05,0.8648148148148148,0.5,621.8113708496094,189,17714.790274381638,18876.94867563248
193,tanh,32,han,0.4,16,2.059590291072068e-05,9,2,10,1e-05,0.8648148148148148,0.5,0.6956483125686646,193,18127.04007220268,18980.566099643707
194,tanh,128,han,0.2,64,2.037839314458475e-05,8,2,10,0.0,0.1351851851851851,0.5,0.692089319229126,195,18619.818623542786,19143.92995429039
195,elu,64,hgt,0.0,64,1.2195969584909549e-05,8,2,10,0.0,0.6537037037037037,0.6264263295297879,0.6612100005149841,196,18644.41075348854,19276.933823108677
196,leakyrelu,16,hgt,0.0,256,0.0331132504493578,2,1,6,0.0,0.4574074074074074,0.5533865243026018,1.3631964325904846,194,18254.180595636368,19336.088326454163
197,leakyrelu,64,han,0.5,32,6.494523983746256e-05,4,2,10,1e-05,0.8648148148148148,0.5,0.6939846277236938,197,18760.92879319191,19402.682062387463
198,sigmoid,32,hgt,0.0,256,0.0101652179666959,4,2,9,0.0,0.4574074074074074,0.5533865243026018,0.6875463128089905,198,18784.892033815384,19656.250083446503
199,relu,32,hgt,0.0,64,0.0085194997377405,5,2,10,5e-05,0.6537037037037037,0.6264263295297879,0.6988556385040283,199,18813.2146525383,19689.658616542816
