,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather
64,tanh,16,hgt,0.0,16,3.598386830420223e-05,10,2,9,1e-05,0.6537037037037037,0.6264263295297879,1.2554932832717896,59,5529.201058626175,6730.624957561493
65,tanh,64,han,0.0,256,2.4608303509526436e-05,10,8,10,0.0,0.8648148148148148,0.5,40.03903579711914,68,6493.477195739746,7105.212494850159
66,relu,256,han,0.0,16,5.472801927776235e-05,10,2,9,0.0,0.8648148148148148,0.5,0.9394060969352722,71,6697.422847270966,7159.075024366379
67,tanh,16,han,0.0,16,0.0001355031442173,10,8,9,5e-05,0.1351851851851851,0.5,18.815070152282715,65,6207.814608335495,7323.236939668655
68,leakyrelu,32,hgt,0.0,16,3.706025830495975e-05,5,1,10,5e-05,0.6537037037037037,0.6264263295297879,0.6618528366088867,69,6522.229245662689,7340.993001461029
69,relu,32,hgt,0.0,16,1.1633334537063531e-05,3,2,9,1e-05,0.6537037037037037,0.6264263295297879,0.6573047041893005,70,6670.250465154648,7468.102310180664
70,leakyrelu,16,hgt,0.0,16,1.2141019954424063e-05,4,1,7,0.0,0.6537037037037037,0.6264263295297879,1.248583972454071,67,6402.531633377075,7495.850278139114
71,leakyrelu,16,hgt,0.0,256,0.0002857054570744,5,1,10,0.0,0.6537037037037037,0.6264263295297879,1.2478556632995603,66,6311.240367650986,7525.66330075264
72,elu,32,hgt,0.0,128,3.3508658275467615e-05,2,1,8,1e-05,0.6537037037037037,0.6264263295297879,0.6669217944145203,72,6731.9485857486725,7565.952764749527
73,tanh,128,han,0.3,16,6.721053375374667e-05,3,8,9,1e-05,0.4574074074074074,0.5533865243026018,0.6915560960769653,76,7342.030167818069,7905.771871089935
74,relu,256,han,0.0,32,5.085727026556038e-05,9,4,10,0.0,0.4574074074074074,0.5533865243026018,464.72991943359375,80,7567.065015077591,8009.813971996307
75,leakyrelu,64,hgt,0.4,32,0.0005352693774287,3,4,10,0.0,0.1351851851851851,0.5,0.7182714939117432,79,7526.75071978569,8147.704423427582
76,tanh,16,hgt,0.0,16,0.0043841703196386,1,1,6,0.0,0.6537037037037037,0.6264263295297879,1.2469853162765503,74,7160.193582296372,8247.185573101044
77,elu,16,hgt,0.0,16,0.0011323317934396,6,1,6,1e-05,0.6537037037037037,0.6264263295297879,1.2437188625335691,73,7106.448518037796,8265.170314073563
