index,source_id,g_gnd,name,gmd_vdc,status,parent_index,s_source_id,s_g_gnd,s_name,s_gmd_vdc,s_status,s_parent_index,s_index
15,"Any[""gmd_bus"", 15]",10,dc_sub15,40.25553554540546,1,15,"Any[""gmd_bus"", 15]",10,dc_sub15,40.25553554540546,1,15,15
16,"Any[""gmd_bus"", 16]",10,dc_sub16,0.0,1,16,"Any[""gmd_bus"", 16]",10,dc_sub16,0.0,1,16,16
17,"Any[""gmd_bus"", 17]",10,dc_sub17,0.0,1,17,"Any[""gmd_bus"", 17]",10,dc_sub17,0.0,1,17,17
18,"Any[""gmd_bus"", 18]",10,dc_sub18,29.36595331898646,1,18,"Any[""gmd_bus"", 18]",10,dc_sub18,29.36595331898646,1,18,18
19,"Any[""gmd_bus"", 19]",10,dc_sub19,51.80018385394893,1,19,"Any[""gmd_bus"", 19]",10,dc_sub19,51.80018385394893,1,19,19
20,"Any[""gmd_bus"", 20]",10,dc_sub20,104.59325935940305,1,20,"Any[""gmd_bus"", 20]",10,dc_sub20,104.59325935940305,1,20,20
21,"Any[""gmd_bus"", 21]",0,dc_bus1,-39.86826990402956,1,1,"Any[""gmd_bus"", 21]",0,dc_bus1,-39.86826990402956,1,1,21
22,"Any[""gmd_bus"", 22]",0,dc_bus2,-37.6608052266569,1,2,"Any[""gmd_bus"", 22]",0,dc_bus2,-37.6608052266569,1,2,22
23,"Any[""gmd_bus"", 23]",0,dc_bus3,-45.283244264920555,1,3,"Any[""gmd_bus"", 23]",0,dc_bus3,-45.283244264920555,1,3,23
24,"Any[""gmd_bus"", 24]",0,dc_bus4,-106.75536182229521,1,4,"Any[""gmd_bus"", 24]",0,dc_bus4,-106.75536182229521,1,4,24
25,"Any[""gmd_bus"", 25]",0,dc_bus5,-69.10419624348005,1,5,"Any[""gmd_bus"", 25]",0,dc_bus5,-69.10419624348005,1,5,25
26,"Any[""gmd_bus"", 26]",0,dc_bus6,204.68561041929635,1,6,"Any[""gmd_bus"", 26]",0,dc_bus6,204.68561041929635,1,6,26
27,"Any[""gmd_bus"", 27]",0,dc_bus7,-27.723973604899015,1,7,"Any[""gmd_bus"", 27]",0,dc_bus7,-27.723973604899015,1,7,27
28,"Any[""gmd_bus"", 28]",0,dc_bus8,-248.03343409176864,1,8,"Any[""gmd_bus"", 28]",0,dc_bus8,-248.03343409176864,1,8,28
29,"Any[""gmd_bus"", 29]",0,dc_bus9,-27.028014750081358,1,9,"Any[""gmd_bus"", 29]",0,dc_bus9,-27.028014750081358,1,9,29
30,"Any[""gmd_bus"", 30]",0,dc_bus10,-26.39958490377549,1,10,"Any[""gmd_bus"", 30]",0,dc_bus10,-26.39958490377549,1,10,30
